Chapultenangospkr4,English Translation,Comment
ʔonguj,160_sleep,<ʔon-kuj sleep-NOM 'sleeping' <ʔon- 'to sleep'
mawasəj,159_dream,<mawas-əj dream-NOM 'dreaming' <mawas- 'to dream'
poʔoksə,143_sit,poʔoks-ə sit-IMP 'sit!' <poʔoks- 'to sit'
teʔna,142_stand,<teʔn-a stand-IMP 'stand!' <teʔn- 'to stand'
pət,60_person,
pət,61_man,
jomo,62_woman,
ŋaj,63_child, <n-kaj POSS1-child 'my child' <-kaj 'child'
hajə,67_husband,
njomo,68_wife,<n-jomo 1SG-woman 'my wife' <-jomo 'women'
maji,65_mother,
hara,66_father,
təhk,102_house,
məhamuʔk,101_thatchroof,
nəji,64_name,
tsaʔamə,189_say,<tsaʔam-ə  say-IMP 'say (it)' <tsaʔam- 'to say'
tsahʲ,103_rope,
akuʃa,104_needle,
kaʔkopən,180_hunt,<kaʔ-kopən die-animal 'kill animals'
tuhkuj,197_shoot,<tuh-kuj shoot-NOM 'shooting' <tuh- 'shoot'
kaʔa,191_stab, < die??
tsiʔə,176_hit,<tsiʔ-ə hit-IMP 'hit (it)' <tsiʔ- 'to hit'
ɲuʔumu,193_steal,<j-nuʔum-u 3SG-steal-COM 'he stole' <nuʔum- ' to steal'
kʲaʔaw,163_kill, (jahk-CAUS) <j-kaʔ-u 3SG-die-COM 'he killed (him)'   
kaʔaw,162_die,<kaʔ-u die-COM 'he died' < kaʔ- 'to die'
ihtkuj,161_live,<iht-kuj live-NOM 'living' <ijt- 'to live/exist'
kuhʲ,98_wood,
iʔidəkoma,178_split,??
haɲiʔidəkowak,120_bluntdull,
joʃkuj,198_work,joʃ-kuj joʃ-NOM 'working' <joʃ- 'to work'
niʔibə,195_plant, <niʔip-ə plant-IMP 'plant (it)!' <niʔip- 'to plant'
pəkə,194_choose, <pək-ə grab-IMP 'grab (it)!' <pək- 'to grab'
puʔnahkuj,141_grow,<puʔnah-kuj grow-NOM 'growing' < puʔnah- 'to grow'
məhtsəhkuj,188_swell, <məhtsəh-kuj swell-NOM 'swelling' <məhtsəh- 'swell, become bigger'
nəwədəɲə,187_squeeze,<nə-wətəɲ-ə water-squeeze-IMP 'squeeze the water (from it)!' <wətəɲ- 'squeeze'
pəkəj,181_hold, <pəʔə-kəj hold-NOM 'holding' <pəʔə- 'to hold'
nəwədə,179_dig,<nəwəd-ə dig-IMP 'dig (it)!' NOT CORRECT! PLEASE DELETE THIS WORD!!!
həjə,192_buy,<həj-ə buy-IMP 'buy (it)!' <həj- 'to buy'
akwahkəj,199_open,akwah-kəj open-NOM 'opening' <akwah- 'to open'
tsiʔə,150_throw,<tsiʔ-ə throw-IMP 'throw (it)!' <tsiʔ- 'to throw'
kehkuj,144_fall,<keh-kuj fall-NOM 'falling' <kej- 'to fall'
tuʔuj,47_dog,
hoʔontʃi,48_bird,
poʔka,56_egg,
saha,58_wing,
sidihkuj,149_flyverb, <sidih-kuj fly-NOM 'flying' <sidih- 'to fly'
tsuhk,53_rat,
siʔis,90_meatflesh,
mʲanteʔeka,92_fatgrease, <j-manteʔeka POSS3-fat <-manteʔeka 'fat' (Spanish)
tuʔuts,57_tail,
punu,51_worm,
usu,55_mosquito,
punu,49_fish,
jahʲ,96_branch,
ahʲ,97_leaf,
həjə,100_flower,
təp,93_fruit,
taʔnə,99_grass,
nas,81_earthsoil,
tsaʔ,80_stone,
poʔojo,83_sand,
nəʔ,74_water,
mambənə,173_flow,< mam-pə-nə run-INC-water 'water flows'
muhamejaʔ,76_sea,
kana,91_salt,
mejaʔ,75_lake,
məhawkuhʲ,94_woodsforest, <məhaw-kuhʲ big-trea
kəʔətsəhk,73_sky,
poja,71_moon,
matsa,72_star,
oʔona,132,fog, 
tuh,84_rain,
məʔə,88_thunder,
məʔa,89_lightning,
sawa,86_wind,
tʃiʔsawa,171_blow,<j-tji?-sawa blow-wind 3SG-blow-wind/air 'the wind blows'
ningə,133_warm,
mamba,134_cold,
təhtsə,135_dry,<təhts-ə dry-INP 'dry (it)' <təhts- 'to dry'
hemets,130_heavy,
həktəhk,77_fire,
mapəwi,172_burn,<ma-pəw-i FUT-burn '(it) is going to burn' 
hoko,78_smoke,
təʔəna,79_ash,
jehk,106_black,
powo,107_white,
pəʔətsa,110_yellow,
tsəhtsiwə,109_green,
tsəʔətə,112_small,
məha,111_big,
kəʔən,114_short,
pəjiʔiwə,113_long,
təhtsuwə,116_thin,
məhawə,115_thick,
məha,117_narrow,
məhapə,118_wide,
təwijaʔawə,123_painfulsick,
jahʃu,121_shyashamed,
atʃpə,122_old,
homewo,137_new,
wəbə,124_good,
jatʃkuj,125_bad,
əʔə,126_correcttrue,
piʔitsə,70_night,
hama,69_day,
ame,5_year,
hutʃə,18_when,
kiʔimə,147_climb, <kiʔim-ə  climb-IMP 'climb!' <kiʔim- 'to climb' 
hohmu,26_at,
kəʔəsi,23_above,
məʔənə,24_below,
jəʔə,20_this,
teʔe,21_that,
təmewə,132_near,
jajiʔiwə,131_far,
huʔudə,17_where,
əjtsi,8_i,
mihtsi,11_yousg,
te,12_heshe,
əhtsiʔidəm,10_weallincl,
əhtsiʔidəm,9_weallexcl,
hikədə,13_theyall,
tijə,15_what,
ijə,16_who,
ejapə,138_other,
əhtsidəm,129_all,
teʔsedikə,22_and,
huhtʃe,19_how,
hinə,14_nonot,
majokjuj,183_count,<maj-oj-kuj count-AP?-NOM 'counting' <maj- 'to count'
tumə,1_one,
metsa,2_two,
tukaj,3_three,
maʃkuj,4_four,
