Rayon,English Translation,Comment
madəmokuj,165_hear, <madəmo-kuj  hear-NOM 'hearing' < madəmo-  'to hear'
wiʔidəp,29_eye,
kəʔəŋuj,164_see,kəʔəŋ-uj see-NOM  'seeing' < kəʔən- 'to see'
hawaskuj,157_yawn,<hawas-kuj  yawn-NOM 'yawning' < hawas- 'to yawn'
əŋuj,160_sleep,<ən-kuj sleep-NOM 'sleeping' < ən- 'to sleep'
janakʲuj,145_liedown, <jana-kuj  lie.down-NOM 'liying down' < jana- 'to lie down'
mawaʃəkʲuj,159_dream,,mawaʃə-kuj dream-NOM 'dreaming' < mawaʃə- 'to dream'
pokskuj,143_sit, < poks-kuj  sit-NOM  'sitting'< poks- 'to sit down'
tenakʲuj,142_stand, <tenaj-kuj stand-NOM 'standing' < tenaj- 'to stand'
təwə,60_person,
pət,61_man,
jomoʔ,62_woman,
uneʔ,63_child,
haja,67_husband,
jomoʔ,68_wife,3POSS-omoʔ 'his spouse' < omoʔ 'wife'
maʔama,65_mother,
hadaʔ,66_father,
təhk,102_house,
nəji,64_name,
tsaʔamguj,189_say, <ts a.ʔ.a m-kuj  say-NOM 'saying' < ts a.ʔ.a m- 'to say'
tsaʔahʲ,103_rope,
moksə,186_tieup, <moks-ə  tie.up-IMP 'tie (it) up!'< moks- 'to tie up'
naʔkuj,174_sew, <naʔ-kuj   sew-NOM 'sewing' < naʔ- 'to sew'
akuʃa,104_needle,
maʔkuj,180_hunt, < maʔ-kuj hunt-NOM 'hunting'< maʔ- 'to hunt'
tahmaʔaskuj,191_stab, <tahm a.ʔ.a s-kuj  stab-NOM 'stabbing' < tahm a.ʔ.a k- 'to stab'
ɲaksu,176_hit, <j-naks-u 3E-hit-PAST 'he hit (it)' < naks- 'to hit'
ɲuʔmu,193_steal,< j-nuʔm-u 3E-steel-PAST 'he stole (it)' < nuʔm- 'to steal'
jahkaʔaʔkuj,163_kill, <jah-k a.ʔ.aʔ-kuj CAUS-die-NOM 'killing'< jahk a.ʔ.aʔ- 'to kill'
kaʔaʔkuj,162_die, <kaʔaʔ-kuj  die-NOM 'dying' < k a.ʔ.a ʔ- 'to die'
iʔitkuj,161_live, <iʔit-kuj  live-NOM 'living' < i.ʔ.i t- 'to live'
hetsmaʔskuj,190_scratch, <jetsmaʔs-kuj  scratch-NOM 'scratching'< jetsmaʔs- 'to scratch'
jʲahku,177_cut, < j-ahk-u  3E-cut-PAST 'he cut (it)' < jahk- 'to cut'
kuhʲ,98_wood,
kʲukweʔŋu,178_split, <j-kukweʔŋ-u  3E-split-PAST 'he split (it)'<kukweʔŋ- 'to split'
wiʔnaw,119_sharp,
joskuj,198_work, <jos-kuj  work-NOM 'working'< jos-'to work'
nipkuj,195_plant, nib-kuj  plant-NOM 'planting' < nip- 'to plant'
kobiŋuj,194_choose, <kopin-kuj chose-NOM  'choosing'< kopin- 'to choose'
jeʔeŋuj,141_grow, <j e.ʔ.e n-kuj grow-NOM  'gorwing'< j e.ʔ.e n- 'to grow up'
siŋuj,188_swell,<sin-kuj swell-NOM 'swelling'< sin- 'to swell'
ɲuhku,181_hold, <j-nujk-u 3E-hold-PAST 'he held (it)' < nuhk- 'to hold'
tahkuj,179_dig, <tah-kuj dig-NOM 'digging' < tahk- 'to dig'
huʔukʲuj,192_buy, < hu.ʔ.u j-kuk buy-NOM 'buying' < h u.ʔ.u j- 'to buy'
taʔaŋuj,199_open, taʔan-kuj open-NOM 'opening' < taʔan- 'to open'
hʲuʔudu,175_pound, < j-h u.ʔ.u d-u  3E-pound-PAST 'he beated (it/him)' < h u.ʔ.u d u- 'to beat'
tənbəʔəkuj,150_throw, <tənbəʔə-kuj throw-NOM 'throwing' < tənbəʔə- 'to throw'
kehku,144_fall, <kehk-u 'it/he fell' < kehk- 'to fall'
tuʔuwiʔ,47_dog,
hoʔot,48_bird,
pokaʔ,56_egg,
pəhk,59_feather,
sahaʔ,58_wing,
kəjəʔəkuj,149_flyverb, <kəj ə.ʔ.ə -kuj  fly-NOM 'flying' < kəj ə.ʔ.ə - 'to fly'
tsuhk,53_rat,
siʔis,90_meatflesh,
ʃewu,92_fatgrease,
tuʔuts,57_tail,
tsat,50_snake,
toʔot,51_worm,
awat,52_louse,
usubʔune,55_mosquito,
amu,54_spider,
punuʔ,49_fish,
puhtsuʔuwə,128_rotten,
aweks,96_branch,
ajʲ,97_leaf,
watsi,95_root,
həjə,100_flower,
təʔəp,93_fruit,
taʔanəʔ,99_grass,
nasʲ,81_earthsoil,
tsaʔ,80_stone,
poʔojoʔ,83_sand,
nəʔ,74_water,
powʲawənəʔ,173_flow, <powʲa-wə-nəʔ run-INC-water 'the water runs/flows'
mejaʔ,76_sea,
kana,91_salt,
mejaʔ,75_lake,
tsaʔamədək,94_woodsforest,
tsaʔap,73_sky,
poja,71_moon,
maʔatsaʔ,72_star,
oʔona,85_cloud,
oʔona,87_fog,
tuh,84_rain,
məhə,88_thunder,
məmgə,89_lightning,
saʔawa,86_wind,
suhkuj,171_blow, <suh-kuj  blow-NOM 'blowing' < suh-kuj 'to blow'
meʔeŋə,133_warm,
pakak,134_cold,
təhtsu,135_dry, <təhts-u dry-PAST 'he dried' < təhts- 'to dry'
tsoko,136_wet,
hemets,130_heavy,
huʔuktək,77_fire,
poŋu,172_burn, <poŋ-u burn-PAST 'he burnt (it)' < poŋ- 'to burn'
joko,78_smoke,  
poʔojo,79_ash,
jəkpə,106_black,
poʔoboʔ,107_white,
tsaʔawas,108_red,
puʔutʃə,110_yellow,
tsuhtsuʔ,109_green,
tʃəbə,112_small,
məhaʔabə,111_big,
konowə,114_short,
pəhiʔiwə,113_long,
kajiʔiwə,116_thin,
məhtsaʔawjə,115_thick,
kajiʔiwə,117_narrow,
peʔetsiʔi wə,118_wide,
tobjawə,123_painfulsick,
tsaʔahkuj,121_shyashamed,
kaʔanak,122_old,
homjeʔewə,137_new,
wəbə,124_good,
dawəbə,125_bad,
wəbə,126_correcttrue,
tsuʔ,70_night,
hama,69_day,
ameʔ,5_year,
huhtʃəʔək,18_when,
kəwəŋuj,151_hide,<kəwən-kuj hide-NOM 'hiding' < kəwən- 'to hide'
kimguj,147_climb, <kim-kuj climb-NOM 'climbing' < kim- 'to climb'
hohməʔ,26_at,
hohməʔ,25_ininside,
wiŋəsi,23_above,
kəwehkəʔmə,24_below,
jəmə,20_this,
hiʔikə,21_that,
tomeʔ,132_near,
jaʔajə,131_far,
huʔuwə,17_where,
əhtsi,8_i,
mihtsi,11_yousg,
hiʔikə,12_heshe,
əʔəhtʲap,10_weallincl,
hiktam,13_theyall,
tijə,15_what,
iʔijə,16_who,
ejadap,138_other,
mumudap,129_all,
i,22_and,
huʔutsə,19_how,
nda,14_nonot,
majokʲuj,183_count, <maj-oj-kuj count-?-NOM 'counting' < maj- 'to count'
tumə,1_one,
metsa,2_two,
tuka,3_three,
makʃku,4_four,
