ID,Name,Concepticon_ID,Concepticon_Gloss,IndexInSource,Spanish_Gloss
111_big,big,1202,BIG,711-0,grande
112_small,small,1246,SMALL,717-0,pequeño
113_long,long,1203,LONG,721-0,largo (cosas)
114_short,short,1645,SHORT,722-0,bajo
115_thick,thick,1244,THICK,735-0,grueso 
116_thin,thin,2308,THIN,736-0,delgado (cosas)
117_narrow,narrow,1267,NARROW,737-0,angosto
118_wide,wide,1243,WIDE,738-0,ancho
119_sharp,sharp,1396,SHARP,741-0,"agudo, filoso"
120_bluntdull,"blunt, dull",379,BLUNT,742-0,"despuntado, no filoso"
121_shyashamed,"shy, ashamed",487,SHY,749-0,"tímido, avergonzado"
122_old,old,1229,OLD,752-0,viejo (persona)
123_painfulsick,"painful, sick",2103,PAINFUL OR SICK,763-0,doloroso
124_good,good,1035,GOOD,771-0,bueno
125_bad,bad,1292,BAD,772-0,malo
126_correcttrue,"correct, true",1725,CORRECT (RIGHT),773-0,"correcto, cierto"
127_dirty,dirty,1230,DIRTY,777-0,sucio
128_rotten,rotten,1728,ROTTEN,780-0,podrido
129_all,all,98,ALL,782-0,todos
130_heavy,heavy,1210,HEAVY,786-0,pesado
131_far,far,1406,FAR,788-0,lejos
132_near,near,1942,NEAR,789-0,cerca
133_warm,warm,1232,WARM,791-0,calor (tiempo)
134_cold,cold,1287,COLD,792-0,frío  (tiempo)
135_dry,dry,1398,DRY,793-0,secar (tr.)
136_wet,wet,1726,WET,794-0,mojado
137_new,new,1231,NEW,798-0,nuevo
138_other,other,197,OTHER,799-0,otro
139_come,come,1446,COME,802-0,llegar
140_walk,walk,1443,WALK,803-0,caminar
141_grow,grow,479,GROW,809-0,crecer
142_stand,stand,1442,STAND,811-0,pararse
143_sit,sit,1416,SIT,812-0,sentarse
144_fall,fall,1280,FALL,813-0,caerse
145_liedown,lie down,215,LIE DOWN,814-0,acostarse
146_turn,turn,1588,TURN,815-0,voltear
147_climb,climb,1102,CLIMB,818-0,subir (escalera)
148_swim,swim,1439,SWIM,821-0,nadar
149_flyverb,fly (verb),1441,FLY (MOVE THROUGH AIR),822-0,volar
150_throw,throw,1456,THROW,826-0,tirar (piedra)
151_hide,hide,602,HIDE (CONCEAL),827-0,esconderse
152_chew,chew,321,CHEW,829-0,masticar
153_eat,eat,1336,EAT,831-0,comer
154_drink,drink,1401,DRINK,832-0,beber
155_bite,bite,1403,BITE,833-0,morder
156_suck,suck,1421,SUCK,834-0,amamantar
157_yawn,yawn,1028,YAWN,836-0,bostezar
158_spit,spit,1440,SPIT,837-0,escupir
159_dream,dream,1920,DREAM (SOMETHING),840-0,soñar 
160_sleep,sleep,1585,SLEEP,841-0,dormir
161_live,live,1422,BE ALIVE,842-0,vivir
162_die,die,2101,BE DEAD OR DIE,843-0,morir
163_kill,kill,1417,KILL,844-0,matar
164_see,see,1409,SEE,851-0,ver
165_hear,hear,1408,HEAR,852-0,oír
166_sniffsmell,"sniff, smell",1586,SMELL (PERCEIVE),854-0,oler
167_know,know,1410,KNOW (SOMETHING),855-0,saber
168_think,think,2271,THINK,856-0,pensar
169_laugh,laugh,1355,LAUGH,858-0,reirse
170_cry,cry,1839,CRY,859-0,llorar
171_blow,blow,175,BLOW (OF WIND),867-0,soplar (viento)
172_burn,burn,2102,BURN,868-0,quemar (algo)
173_flow,flow,2003,FLOW,869-0,fluir
174_sew,sew,1457,SEW,874-0,coser (ropa)
175_pound,pound,354,POUND,880-0,"batir, moler"
176_hit,hit,1433,HIT,881-0,pegar (con palo)
177_cut,cut,1432,CUT,887-0,cortar (leña)
178_split,split,1437,SPLIT,888-0,dividir
179_dig,dig,1418,DIG,889-0,excavar
180_hunt,hunt,1435,HUNT,892-0,cazar 
181_hold,hold,1448,HOLD,893-0,"tener, agarrar"
182_fear,fear,1419,FEAR (BE AFRAID),895-0,tener miedo
183_count,count,1420,COUNT,896-0,contar (números)
184_breathe,breathe,1407,BREATHE,897-0,respirar
185_vomit,vomit,1278,VOMIT,900-0,vomitar
186_tieup,tie (up),1094,FASTEN,901-0,"amarrar, atar"
187_squeeze,squeeze,1414,SQUEEZE,902-0,exprimir (jugo)
188_swell,swell,1573,SWELL,903-0,hincharse
189_say,say,1458,SAY,904-0,decir
190_scratch,scratch,1436,SCRATCH,905-0,razguñar
191_stab,stab,1434,STAB,906-0,apuñalar
192_buy,buy,1869,BUY,912-0,comprar
193_steal,steal,713,STEAL,913-0,robar
194_choose,choose,1750,CHOOSE,915-0,escojer
195_plant,plant,1486,PLANT (SOMETHING),918-0,plantar
196_cook,cook,1100,COOK (SOMETHING),922-0,cocinar (en general)
197_shoot,shoot,1172,SHOOT,940-0,disparar (con flecha)
198_work,work,1086,WORK (ACTIVITY),950-0,trabajar
199_open,open,1156,OPEN,962-0,abrir
